ADP,PLAYER,POS,TEAM,GP,MPG,FGM,FG%,FTM,FT%,3PTM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,A/TO,TOTAL,FGM_calc,FGA,FTM_calc,FTA,3PM_calc,3PA,DD_calc
32.3,Josh Giddey,"PG,SG",CHI,72,31.1,455,0.47,157.7,0.785,109.4,0.365,1177.2,578.9,550.1,87.1,51.1,213.1,30.9,2.6,13.2,455.0,967.7,157.7,200.9,109.4,300.2,TRUE
20.2,Tyrese Maxey,PG,PHI,65,37.6,612.3,0.444,319.8,0.872,209.3,0.364,1753.7,237.3,412.1,100.1,29.9,143,10,2.9,13.03,612.3,1378.7,319.8,366.6,209.3,575.3,TRUE
23.5,Donovan Mitchell,"PG,SG",CLE,72,31.8,602.6,0.449,317.5,0.843,239,0.37,1761.8,333.4,380.9,102.2,25.9,167.8,6.1,2.3,12.75,602.6,1342.8,317.5,376.6,239.0,645.8,TRUE
68.9,Rudy Gobert,C,MIN,74,33.6,358.9,0.664,207.9,0.653,0,0.0,925,788.8,110.3,51.8,112.5,99.2,37,1.1,12.6,358.9,540.2,207.9,318.2,0.0,1.5,TRUE
60.5,Michael Porter Jr.,"SF,PF",BKN,79,32.7,595.7,0.473,170.6,0.788,243.3,0.389,1605.3,636.7,155.6,49.8,49,160.4,15.4,1,12.49,595.7,1260.1,170.6,216.5,243.3,624.9,TRUE
55,Jalen Duren,C,DET,72,27.6,383,0.655,160.6,0.722,0,0.0,926.6,798.5,187.2,46.1,71.3,139.7,37.9,1.3,12.35,383.0,584.6,160.6,222.5,0.0,2.2,TRUE
28.2,Jalen Johnson,"SF,PF",ATL,65,34.7,452.4,0.507,144.3,0.735,82.6,0.337,1131.7,607.8,275.6,88.4,59.8,148.9,36.1,1.9,11.72,452.4,893.1,144.3,196.3,82.6,245.1,TRUE
29,Pascal Siakam,"PF,C",IND,76,32.9,703.8,0.515,320.7,0.748,132.2,0.347,1859.7,535.8,358.7,64.6,32.7,121.6,10.7,3,11.66,703.8,1365.7,320.7,428.6,132.2,380.8,TRUE
39.7,Derrick White,"PG,SG",BOS,74,33.2,465.5,0.444,136.2,0.868,252.3,0.392,1319.4,371.5,414.4,74.7,83.6,121.4,3.9,3.4,11.43,465.5,1048.6,136.2,156.9,252.3,643.1,TRUE
24.8,Scottie Barnes,"SG,SF,PF",TOR,69,33.9,514.7,0.459,236.7,0.766,98.7,0.307,1364.8,556.8,414,93.8,84.2,195.3,27.6,2.1,11.29,514.7,1120.6,236.7,309.1,98.7,321.5,TRUE
62.9,Zach LaVine,"PG,SG",SAC,69,34,542.3,0.497,220.1,0.833,203.6,0.423,1508.3,233.9,282.9,57.3,15.9,177.3,5.6,1.6,10.95,542.3,1090.2,220.1,264.3,203.6,480.9,TRUE
43.8,Jamal Murray,"PG,SG",DEN,68,34.8,545.4,0.474,209.4,0.873,163.9,0.398,1464,280.8,408,78.9,40.1,151,5.1,2.7,10.88,545.4,1149.9,209.4,240.0,163.9,412.1,TRUE
29.9,Amen Thompson,"PG,SG,SF",HOU,72,34.3,429.1,0.553,187.9,0.69,38.9,0.293,1085,617,412.6,111.6,90,147.6,21.9,2.8,10.77,429.1,776.2,187.9,272.2,38.9,132.5,TRUE
21.3,Jalen Williams,"SF,PF",OKC,70,33,568.4,0.484,245.7,0.801,133.7,0.404,1516.2,352.8,353.5,100.1,49,142.8,3,2.5,10.69,568.4,1175.3,245.7,306.6,133.7,331.1,TRUE
56.5,Deni Avdija,"SF,PF",POR,73,30.1,454.1,0.478,290.5,0.777,125.6,0.37,1324.2,573.1,321.9,74.5,40.2,202.2,17.2,1.6,10.2,454.1,949.7,290.5,373.8,125.6,339.5,TRUE
53.6,Austin Reaves,"PG,SG",LAL,72,33.5,439.2,0.469,259.9,0.866,166.3,0.372,1304.6,320.4,409.7,69.1,22.3,175,8.9,2.3,9.26,439.2,937.4,259.9,300.2,166.3,447.1,TRUE
88,John Collins,"PF,C",LAC,70,29.2,412.3,0.528,175,0.82,88.9,0.383,1088.5,541.8,95.9,48.3,61.6,123.2,22.8,0.8,9.23,412.3,780.5,175.0,213.5,88.9,232.4,TRUE
25.7,Chet Holmgren,"PF,C",OKC,62,28.4,346.6,0.491,172.4,0.772,93.6,0.372,959.1,519.6,142,40.9,141.4,101.1,21.3,1.4,9.09,346.6,705.6,172.4,223.2,93.6,251.7,TRUE
68.8,Deandre Ayton,C,LAL,67,31.3,438.9,0.569,66.3,0.767,4,0.154,948.1,628.5,124,54.9,67.7,106.5,33.5,1.2,8.88,438.9,771.2,66.3,86.4,4.0,26.1,TRUE
15.4,Paolo Banchero,"PF,C",ORL,63,34.7,587.2,0.459,391.2,0.745,133.6,0.342,1699.1,512.2,310,65.5,46.6,170.1,15.1,1.8,8.84,587.2,1279.5,391.2,524.8,133.6,390.6,TRUE
43.6,Desmond Bane,"SG,SF",ORL,70,32,479.5,0.475,175.7,0.872,176.4,0.387,1311.1,338.8,280.7,69.3,28,158.2,10.2,1.8,8.83,479.5,1009.4,175.7,201.6,176.4,456.4,TRUE
26.9,De'Aaron Fox,"PG,SG",SA,68,35.2,592.3,0.466,283.6,0.796,157.1,0.334,1625.9,314.8,399.8,110.2,27.9,181.6,9.9,2.2,8.79,592.3,1270.2,283.6,356.3,157.1,469.9,TRUE
65.4,DeMar DeRozan,SF,SAC,74,34.9,562.4,0.478,397.4,0.855,69.6,0.328,1591.7,281.9,319.7,67.3,34,105.8,2.9,3,8.69,562.4,1175.9,397.4,464.7,69.6,212.4,TRUE
86.9,Naz Reid,"PF,C",MIN,80,28.2,455.2,0.469,120,0.754,188,0.395,1219.2,494.4,156.8,66.4,79.2,120,10,1.3,8.35,455.2,970.4,120.0,159.2,188.0,476.0,TRUE
60.4,Coby White,"PG,SG",CHI,74,33.8,497.3,0.45,275.3,0.873,227.2,0.37,1497,299,348.5,57.7,16.3,162.8,2,2.1,8.28,497.3,1104.1,275.3,315.2,227.2,614.2,TRUE
50.5,Josh Hart,"SG,SF,PF",NY,76,32.5,310.8,0.482,111,0.781,73,0.321,805.6,628.5,348.8,92,25.1,123.1,33.6,2.8,8.17,310.8,645.2,111.0,142.1,73.0,227.2,TRUE
55,Myles Turner,C,MIL,72,29.6,411.8,0.483,173.5,0.777,138.2,0.369,1135.4,478.8,104.4,41.8,135.4,115.2,13,0.9,8.1,411.8,853.2,173.5,223.2,138.2,374.4,TRUE
41.7,Jaren Jackson Jr.,"PF,C",MEM,65,31,520.7,0.467,304.9,0.796,123.5,0.348,1469.7,367.3,141.7,80.6,102.7,146.9,5.3,1,7.89,520.7,1116.1,304.9,382.9,123.5,354.9,TRUE
93.5,Onyeka Okongwu,C,ATL,70,26.7,332.5,0.582,139.3,0.771,38.5,0.325,842.8,563.5,131.6,51.8,70,73.5,26.5,1.8,7.47,332.5,571.2,139.3,180.6,38.5,118.3,TRUE
55.3,Walker Kessler,C,UTA,65,28.2,288,0.656,71.5,0.512,5.2,0.178,652.6,661.1,85.8,31.2,153.4,112.5,31.4,0.8,7.35,288.0,438.8,71.5,139.8,5.2,29.3,TRUE
82.1,Isaiah Hartenstein,C,OKC,66,26.6,261.4,0.617,96.4,0.692,0.7,0.059,619.7,652.1,207.2,59.4,74.6,96.4,32.4,2.2,7.25,261.4,423.7,96.4,139.3,0.7,11.2,TRUE
97,Christian Braun,"SG,SF",DEN,74,33.9,452.9,0.542,171.7,0.817,91.8,0.391,1169.2,388.5,203.5,76.2,43.7,82.9,5.6,2.5,7.24,452.9,836.2,171.7,210.2,91.8,234.6,TRUE
79,Payton Pritchard,PG,BOS,76,30.3,427.9,0.466,66.1,0.829,258.4,0.389,1180.3,319.2,434.7,61.6,11.4,82.1,4.8,5.3,7.18,427.9,917.3,66.1,79.8,258.4,664.2,TRUE
29.1,Jaylen Brown,"SG,SF",BOS,68,33.9,731.7,0.468,248.9,0.75,151.6,0.333,1863.9,486.9,321,83.6,29.9,175.4,5.4,1.8,6.99,731.7,1562.6,248.9,331.8,151.6,455.6,TRUE
34.4,Franz Wagner,"SF,PF",ORL,68,33.1,570.5,0.472,290.4,0.861,106.1,0.289,1538.2,386.9,308.7,80.9,26.5,147.6,3.4,2.1,6.58,570.5,1209.0,290.4,337.3,106.1,367.2,TRUE
69.2,Darius Garland,PG,CLE,61,31.4,427.6,0.461,170.2,0.858,174.5,0.397,1199.9,168.4,405,76.3,8.5,168.4,5.7,2.4,6.56,427.6,927.8,170.2,198.3,174.5,439.2,TRUE
45.3,Trey Murphy III,"SF,PF",NO,65,34.3,484.9,0.444,257.4,0.868,205.4,0.35,1432.6,331.5,243.8,71.5,41,137.8,2.5,1.8,6.46,484.9,1092.7,257.4,296.4,205.4,586.3,TRUE
84.5,Jakob Poeltl,C,TOR,62,29,356.5,0.632,91.1,0.62,0.6,0.333,805.4,569.8,166.2,58.9,74.4,109.7,25,1.5,6.29,356.5,564.2,91.1,146.9,0.6,1.9,TRUE
52.9,Jimmy Butler,"SF,PF",GS,58,32.9,314.4,0.492,349.2,0.846,47,0.372,1024.3,312.6,303.3,79.5,18,89.3,6.3,3.4,6.27,314.4,639.2,349.2,413.0,47.0,126.4,TRUE
38.5,Ja Morant,PG,MEM,60,32.9,508.8,0.451,334.2,0.81,97.2,0.294,1449,276.6,456.6,66,18.6,229.8,15.6,2,6.25,508.8,1129.2,334.2,412.8,97.2,330.6,TRUE
66.4,Jalen Green,"PG,SG",PHO,78,32.3,609.2,0.423,289.4,0.808,226.2,0.344,1734.7,416.5,298.7,71,28.9,205.1,3.8,1.5,6.08,609.2,1441.4,289.4,358.0,226.2,658.3,TRUE
62.7,Julius Randle,"PF,C",MIN,70,33.8,460.6,0.477,287.7,0.795,115.5,0.333,1324.4,517.3,332.5,41.3,16.1,201.6,14.2,1.7,6.04,460.6,966.0,287.7,361.9,115.5,346.5,TRUE
29.2,LaMelo Ball,"PG,SG",CHA,50,32.2,432,0.413,207.5,0.849,191,0.359,1262.5,305,391.5,65.5,12.5,183.5,13.9,2.1,5.81,432.0,1046.5,207.5,244.5,191.0,532.0,TRUE
80.7,Cameron Johnson,"SF,PF",DEN,65,31.6,358.8,0.47,152.8,0.855,189.8,0.408,1060.2,271.1,173.6,72.8,27.3,87.1,2.3,2,5.71,358.8,763.8,152.8,178.8,189.8,465.4,TRUE
37.6,Dyson Daniels,"PG,SG,SF",ATL,74,32.1,407,0.478,79.2,0.641,78.4,0.329,972.4,418.1,319.7,201.3,51.8,137.6,8.7,2.3,5.67,407.0,851.0,79.2,123.6,78.4,238.3,TRUE
55.1,Tyler Herro,"PG,SG",MIA,58,33.2,457.6,0.461,179.8,0.866,179.8,0.382,1274.8,291.7,287.7,46.4,9.3,136.3,6.8,2.1,5.63,457.6,993.0,179.8,207.6,179.8,471.0,TRUE
