FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
12,3,3,8,1,0,10,5,2,1,0,0,0,9,1,Toumani Camara
4,2,5,1,1,1,8,5,4,0,0,1,0,9,2,Toumani Camara
21,1,6,6,0,3,16,5,1,1,0,1,0,9,0,Jabari Smith Jr.
12,2,7,6,0,0,17,8,3,1,1,2,0,9,1,Jabari Smith Jr.
11,4,4,3,1,2,8,10,0,1,0,0,0,9,2,Jabari Smith Jr.
6,2,1,1,0,1,7,10,2,3,1,2,0,9,0,Kyshawn George
15,1,3,6,0,2,7,2,1,0,0,0,0,9,1,Kyshawn George
5,3,9,2,1,2,11,4,2,0,0,2,0,9,2,Kyshawn George
11,3,3,8,1,0,8,5,3,1,0,0,0,9,0,Rui Hachimura
5,4,1,3,1,0,8,7,3,0,0,0,0,9,1,Rui Hachimura
7,3,6,2,1,2,5,4,1,1,0,0,0,9,2,Rui Hachimura
1,3,1,1,2,0,11,9,0,0,1,0,0,9,0,Moussa Diabate
7,3,1,4,1,0,6,4,1,0,0,0,0,9,1,Moussa Diabate
2,3,1,1,0,0,6,4,0,0,0,2,0,9,2,Moussa Diabate
13,1,1,7,1,0,14,7,8,0,0,2,0,10,0,Amen Thompson
7,4,3,5,2,0,9,6,4,2,0,1,0,10,1,Amen Thompson
14,1,4,5,1,0,14,5,2,2,1,3,0,10,2,Amen Thompson
7,3,3,4,3,0,10,1,6,0,0,1,0,10,0,Trey Murphy III
10,1,3,6,1,1,8,5,0,0,0,2,0,10,1,Trey Murphy III
6,6,9,3,4,3,13,5,2,0,0,0,0,10,2,Trey Murphy III
6,1,2,4,0,0,2,4,5,1,0,1,0,10,0,Dyson Daniels
5,2,2,3,0,0,3,4,4,1,0,2,0,10,1,Dyson Daniels
3,1,1,3,0,0,8,3,3,0,0,0,0,10,2,Dyson Daniels
15,9,6,10,7,4,22,7,2,1,1,4,0,10,0,Norman Powell
10,9,6,7,8,1,17,3,1,2,0,2,0,10,1,Norman Powell
