FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
12,4,1,5,2,0,17,5,1,4,0,0,0,9,2,Cooper Flagg
14,5,3,6,3,0,16,1,5,1,0,4,0,9,0,Austin Reaves
7,4,6,5,2,2,13,3,7,1,0,6,0,9,1,Austin Reaves
8,8,3,3,5,0,21,3,5,0,0,0,0,9,2,Austin Reaves
17,3,5,12,3,1,17,6,3,0,1,1,0,9,0,Kawhi Leonard
16,5,4,7,4,2,25,9,4,3,2,0,0,9,1,Kawhi Leonard
15,4,5,13,4,2,13,9,4,1,1,6,0,9,2,Kawhi Leonard
10,4,6,6,2,3,4,2,3,0,0,3,0,9,0,Payton Pritchard
8,1,5,3,1,1,10,1,1,2,0,1,0,9,1,Payton Pritchard
5,1,5,0,1,0,9,0,1,0,1,2,0,9,2,Payton Pritchard
10,5,1,7,3,0,16,6,4,0,1,1,0,9,0,Deandre Ayton
6,1,1,4,1,0,16,8,3,0,0,1,0,9,1,Deandre Ayton
15,2,1,9,1,0,17,11,0,0,0,0,1,9,2,Deandre Ayton
11,2,3,3,0,1,12,4,2,1,1,0,0,9,0,Devin Vassell
14,1,3,4,0,2,14,5,1,1,0,1,0,9,1,Devin Vassell
12,3,2,3,0,2,12,4,2,1,1,1,0,9,2,Devin Vassell
