matchup,team,category,actual,sim_mean,sim_std,z_score,abs_z
Jay Stat vs Nadim the Dream,Nadim the Dream,3P%,0.3939393939393939,0.2805060453955182,0.057613129458942675,1.968880177299042,1.968880177299042
Enter the Dragon vs Team perez,Enter the Dragon,3PM,35.0,30.956,7.64578733682804,0.5289187132528472,0.5289187132528472
Enter the Dragon vs Team perez,Team perez,3PM,74.0,54.08,9.928222398798287,2.00640146844526,2.00640146844526
Enter the Dragon vs Team perez,Enter the Dragon,PTS,489.0,452.652,39.692403504952935,0.9157419755511758,0.9157419755511758
Enter the Dragon vs Team perez,Team perez,PTS,701.0,605.966,48.54417415097305,1.9576808476428695,1.9576808476428695
Enter the Dragon vs Team perez,Enter the Dragon,REB,165.0,163.124,19.62418467096149,0.09559632827834012,0.09559632827834012
Enter the Dragon vs Team perez,Team perez,REB,221.0,204.29,19.3334399422348,0.8643055788275026,0.8643055788275026
Enter the Dragon vs Team perez,Enter the Dragon,AST,102.0,105.108,13.418805311949347,-0.2316152539475592,0.2316152539475592
Enter the Dragon vs Team perez,Team perez,AST,150.0,145.798,15.360637877379963,0.2735563479553055,0.2735563479553055
Enter the Dragon vs Team perez,Enter the Dragon,STL,17.0,21.772,7.244033130791162,-0.6587490578578872,0.6587490578578872
Enter the Dragon vs Team perez,Team perez,STL,34.0,30.91,7.213452710041149,0.42836629339771093,0.42836629339771093
Enter the Dragon vs Team perez,Enter the Dragon,BLK,23.0,21.068,5.793390717015383,0.33348346320327577,0.33348346320327577
Enter the Dragon vs Team perez,Team perez,BLK,14.0,21.814,5.356062359607102,-1.4589075845960093,1.4589075845960093
Enter the Dragon vs Team perez,Enter the Dragon,TO,82.0,60.024,8.98907247718028,2.4447461132156207,2.4447461132156207
Enter the Dragon vs Team perez,Team perez,TO,91.0,77.536,10.835714281947451,1.2425576800628022,1.2425576800628022
Enter the Dragon vs Team perez,Enter the Dragon,DD,8.0,7.004,1.970782585675041,0.5053829921370278,0.5053829921370278
Enter the Dragon vs Team perez,Team perez,DD,11.0,7.302,2.2304250715950986,1.6579799281736727,1.6579799281736727
Enter the Dragon vs Team perez,Enter the Dragon,FG%,0.50920245398773,0.485640175107142,0.04629015894959373,0.5090127019491425,0.5090127019491425
Enter the Dragon vs Team perez,Team perez,FG%,0.47904191616766467,0.4568746223501984,0.035703127559124824,0.6208782068393582,0.6208782068393582
Enter the Dragon vs Team perez,Enter the Dragon,FT%,0.7672955974842768,0.722896585000089,0.07027498514380853,0.6317897099989563,0.6317897099989563
Enter the Dragon vs Team perez,Team perez,FT%,0.8352272727272727,0.768396925535369,0.0551027317882048,1.2128318328894416,1.2128318328894416
Enter the Dragon vs Team perez,Enter the Dragon,3P%,0.3684210526315789,0.29902452440940674,0.07252278318218482,0.9568927884061047,0.9568927884061047
Enter the Dragon vs Team perez,Team perez,3P%,0.3627450980392157,0.2890954876490067,0.04833120499008811,1.5238521449095508,1.5238521449095508
LF da broccoli vs Team Menyo,LF da broccoli,3PM,66.0,56.768,9.986699955440736,0.9244294953480026,0.9244294953480026
LF da broccoli vs Team Menyo,Team Menyo,3PM,39.0,34.484,8.01085164011917,0.5637353184002816,0.5637353184002816
LF da broccoli vs Team Menyo,LF da broccoli,PTS,533.0,584.318,50.48244126426534,-1.0165514724488196,1.0165514724488196
LF da broccoli vs Team Menyo,Team Menyo,PTS,396.0,415.824,37.360634684116384,-0.5306119707979171,0.5306119707979171
LF da broccoli vs Team Menyo,LF da broccoli,REB,164.0,167.67,18.60013709626894,-0.1973103736281688,0.1973103736281688
LF da broccoli vs Team Menyo,Team Menyo,REB,132.0,140.252,15.922326965616552,-0.5182659555867544,0.5182659555867544
LF da broccoli vs Team Menyo,LF da broccoli,AST,76.0,99.026,14.181583973590538,-1.6236550192756924,1.6236550192756924
LF da broccoli vs Team Menyo,Team Menyo,AST,71.0,88.652,12.448409376301857,-1.4180124919095498,1.4180124919095498
LF da broccoli vs Team Menyo,LF da broccoli,STL,39.0,32.5,7.165333209279245,0.9071455311502296,0.9071455311502296
LF da broccoli vs Team Menyo,Team Menyo,STL,30.0,27.68,5.965701970430638,0.38888969169080523,0.38888969169080523
LF da broccoli vs Team Menyo,LF da broccoli,BLK,20.0,24.318,6.98375801413537,-0.6182917551353038,0.6182917551353038
LF da broccoli vs Team Menyo,Team Menyo,BLK,22.0,17.082,4.7773712436862175,1.029436430442712,1.029436430442712
