,Team Role,Team ID,Opponent ID,Player Name,Pro Team,gameDate,week,week_start_dt,week_end_dt
12363,Away,10,12,Toumani Camara,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
12445,Away,10,12,Moritz Wagner,Orlando Magic,2024-11-04,Week 3,2024-11-04,2024-11-10
12485,Home,5,8,Jayson Tatum,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
12564,Home,5,8,Myles Turner,Indiana Pacers,2024-11-04,Week 3,2024-11-04,2024-11-10
12605,Home,5,8,Derrick White,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
12723,Home,5,8,OG Anunoby,New York Knicks,2024-11-04,Week 3,2024-11-04,2024-11-10
12844,Home,5,8,Malik Monk,Sacramento Kings,2024-11-04,Week 3,2024-11-04,2024-11-10
12924,Home,5,8,Andrew Nembhard,Indiana Pacers,2024-11-04,Week 3,2024-11-04,2024-11-10
13043,Away,8,5,Ja Morant,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
13085,Away,8,5,Paolo Banchero,Orlando Magic,2024-11-04,Week 3,2024-11-04,2024-11-10
13124,Away,8,5,Pascal Siakam,Indiana Pacers,2024-11-04,Week 3,2024-11-04,2024-11-10
13243,Away,8,5,Jonathan Kuminga,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
13282,Away,8,5,Mark Williams,Charlotte Hornets,2024-11-04,Week 3,2024-11-04,2024-11-10
13322,Away,8,5,Jordan Poole,Toronto Raptors,2024-11-04,Week 3,2024-11-04,2024-11-10
13483,Away,8,5,Rui Hachimura,Los Angeles Lakers,2024-11-04,Week 3,2024-11-04,2024-11-10
13563,Home,14,19,Desmond Bane,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
13643,Home,14,19,Mikal Bridges,New York Knicks,2024-11-04,Week 3,2024-11-04,2024-11-10
13723,Home,14,19,Scoot Henderson,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
13804,Home,14,19,Giannis Antetokounmpo,Milwaukee Bucks,2024-11-04,Week 3,2024-11-04,2024-11-10
13882,Home,14,19,Keyonte George,Utah Jazz,2024-11-04,Week 3,2024-11-04,2024-11-10
14003,Home,14,19,Keldon Johnson,San Antonio Spurs,2024-11-04,Week 3,2024-11-04,2024-11-10
14084,Away,19,14,Damian Lillard,Milwaukee Bucks,2024-11-04,Week 3,2024-11-04,2024-11-10
14123,Away,19,14,Jaren Jackson Jr.,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
14205,Away,19,14,Jrue Holiday,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
14244,Away,19,14,Brook Lopez,Milwaukee Bucks,2024-11-04,Week 3,2024-11-04,2024-11-10
14285,Away,19,14,Kristaps Porzingis,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
14402,Away,19,14,Kelly Oubre Jr.,Philadelphia 76ers,2024-11-04,Week 3,2024-11-04,2024-11-10
14442,Away,19,14,Tre Mann,Charlotte Hornets,2024-11-04,Week 3,2024-11-04,2024-11-10
14483,Away,19,14,Jaylen Wells,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
14524,Away,19,14,Obi Toppin,Indiana Pacers,2024-11-04,Week 3,2024-11-04,2024-11-10
